,Open
0,1281.9788818359375
1,1230.15478515625
2,1205.4801025390625
3,1182.5447998046875
4,1160.097412109375
5,1138.8236083984375
6,1118.6583251953125
7,1099.597412109375
8,1081.663818359375
9,1064.8629150390625
10,1049.176513671875
11,1034.5634765625
12,1020.9641723632812
13,1008.306884765625
14,996.5139770507812
15,985.5064086914062
16,975.2081298828125
17,965.548095703125
18,956.4620361328125
19,947.892578125
20,939.789306640625
21,932.1089477539062
22,924.8135986328125
23,917.8706665039062
24,911.251953125
25,904.9328002929688
26,898.891357421875
27,893.108642578125
28,887.5670776367188
29,882.2511596679688
30,877.1466064453125
31,872.2401733398438
32,867.5197143554688
33,862.9740600585938
34,858.5927124023438
35,854.3659057617188
36,850.28466796875
37,846.3404541015625
38,842.5255126953125
39,838.83251953125
40,835.2548828125
41,831.7861938476562
42,828.4207153320312
43,825.153076171875
44,821.978271484375
45,818.8916625976562
46,815.8889770507812
47,812.9662475585938
48,810.119873046875
49,807.3461303710938
50,804.6420288085938
51,802.0044555664062
52,799.4306030273438
53,796.9179077148438
54,794.4637451171875
55,792.0658569335938
56,789.7220458984375
57,787.4302368164062
58,785.1884155273438
59,782.9948120117188
